"id","title","authors","year","doi","abstract"
"001","Towards competency-based education in the chemical engineering undergraduate program in Uruguay: Three examples of integrating essential skills","Castelló, E.; Santiviago, C.; Ferreira, J.; Coniglio, R.; Budelli, E.; Larnaudie, V.; Passeggi, M.; López, I.","2023","10.1016/j.ece.2023.05.004","In 2021, Universidad de la República in Uruguay approved a new Chemical Engineering undergraduate program that incorporates novel conceptual definitions such as competency-based education. This paper describes the process of defining the new curriculum plan and presents the program's structure, as well as specific and cross-disciplinary competencies. These competencies are then compared to the learning outcomes established in the guide for programs accreditation of the Institution of Chemical Engineers. To provide practical examples of how the competency-based approach was incorporated into the program, three specific cases are presented. The first case focuses on the implementation of the internship and industry project. The second case illustrates the incorporation of computational tools as an essential part of different courses throughout the degree program. Finally, the third case describes a new design for the fluid mechanics laboratory that emphasizes hands-on learning and helps students develop several competencies. © 2023 Institution of Chemical Engineers"
"002","Research on the relationship between college students' employability and IT skills training based on mixed research methods","Peng, J.; Deng, C.","2022","10.3389/fpsyg.2022.1054134","In the Internet era, there is a mismatch between the skill demands of the IT industry in China and the employment prospects of computer science graduates. The COVID-19 pandemic has particularly highlighted co-existing challenges for industry recruitment and student employment. Many education institutions see IT skills training as a way to solve this conflict. The present paper employs a mixed methods approach to explore factors regarding computer science students' employability. The study used a questionnaire informed by an indepth literature review, full scale development theory and the theory of competency-based education. Reliability analysis and factor analysis methods were used to assess component reliability and structural validity. A total of 323 valid questionnaires were collected and subjected to mean and variance analyses to explore significant differences, including in terms of gender, in student employability. The results show that: (1) employability is divided into nine factors; (2) IT skills training can improve employability; (3) the employability level of computer science students who participate in IT skills training is high; (4) there are significant gender differences in professional ethics, scientific spirit and job-seeking skills, but no significant gender differences in humanistic qualities, computer cognition and operation skills, software design and development skills, system use and innovation skills, sustainable development capacity and teamwork skills. The identification of student employability factors can help education institutions to improve their training and can be used as a standard for students' self-evaluation and selfimprovement. The paper also provides suggestions for education institutions about how to set up IT skills training programmes to enhance students' future employment prospects in the IT industry. Copyright © 2022 Peng and Deng."
"003","INDIVIDUALIZED TEACHING OF PHYSICAL CULTURE THEORY THROUGH A SCIENCE AND ENGINEERING EDUCATION FRAMEWORK","Utepbergenov, A.K.; Nurmatov, F.A.; Shukurllayev, J.M.; Sultansuynov, A.S.; Shermatov, M.N.; Xudoyberganov, J.S.; Roestamy, M.","2025","","This study introduces a pedagogical model to develop professional activity competence in future physical education teachers using an individualized approach supported by blended learning. Drawing from the principles of science and engineering education, the model integrates practical, cognitive, and technological components to promote skill development and instructional effectiveness. A three-phase research design (diagnostic assessment, model construction, and pedagogical experimentation) was applied, involving 142 university students. Data were gathered through observations, interviews, tests, and statistical analysis. The findings revealed high student motivation and competence acquisition within blended environments, while also identifying key challenges such as limited motivation for physical endurance and insufficient self-regulation. By incorporating design-based and technology-enhanced strategies rooted in science and engineering education, the study offers a replicable framework for enhancing physical education teacher training. This model supports the development of adaptive, skilled educators and contributes to broader efforts in reforming competency-based education in interdisciplinary settings. © School of Engineering, Taylor's University."
"004","Feedforward Enhanced Control System to Pursue Mathematical Competencies Achievement in Engineering Education","Mínguez-Aroca, F.; Moll-López, S.; Llobregat-Gómez, N.; Roselló, M.-D.; Sánchez-Ruiz, L.M.","2024","10.3390/educsci14040362","The learning process can be conceptualized as a dynamic system constantly evolving and adapting in response to a variety of stimuli and inputs. This paper presents a novel approach to competency-based assessment that integrates a dynamic assignment design of personalized activities with the aid of a 3D matrix array structure. This structure, named Topic, Activity, and Competency (TAC) cuboid, provides a detailed view of the student’s progress, enabling the design of tailored curricular strategies to facilitate the development of competencies. Personalized activities serve as control inputs that adapt to each learner’s state, driving a feedforward that promotes proactive improvement. An automation process becomes necessary to cope with the increased data volume from the TAC cuboid and the information complexity. The concept model registers TAC cuboid information, enabling a dynamic analysis to forward an adequate workload when required to facilitate students’ achievement of their expected mathematical competencies. Additionally, the paper discusses the initial application of these models in an educational role-playing game, demonstrating their effectiveness in a gamified learning environment. © 2024 by the authors."
"005","Design of Mathematics Learning Devices Based on Professional Competency on Video Audio Engineering Expert Programs","Kurniawan, D.; Armiati, A.; Fauzan, A.; Yerizon, Y.","2020","10.1088/1742-6596/1554/1/012011","Vocational students are prepared to work and have expertise in the vocational field, therefore learning in vocational schools should pay attention to the professional competencies of the students themselves. Learning mathematics in vocational schools in learning mathematics does not relate the relationship of mathematics to the subject matter so that made students bored in learning mathematics and think mathematics is a difficult, unattractive and less useful lesson. Learners prefer productive subjects according to their professional competence. This will affect the purpose of learning mathematics in Vocational Schools in improving students' mathematical problem solving skills. The development of professional competency-based learning tools is expected to overcome the problem of increasing problem-solving skills of vocational students in the audio video engineering program. This study aims to develop learning tools in the form of Learning Implementation Plans (RPP) and Student Worksheets (LKPD) using the Plomp model which consists of three stages: Preliminary research, stage prototype, and assessment phase. This article is a preliminary research phase, which is needs analysis, curriculum analysis, and concept analysis, analysis of students and teachers of vocational mathematics. Audio video techniques. The results in the Preliminary Research stage become a reference in designing products in the form of mathematics-based professional learning devices in the audio video engineering expertise program. © 2020 Published under licence by IOP Publishing Ltd."
"006","Assessing Work-Based Learning in the Senior Years of a Software Engineering Graduate Apprenticeship Program","Nabi, S.W.; Andrei, O.; Barr, M.; Cutts, Q.; Maguire, J.; Morrison, A.; Parkinson, J.; Somerville, D.; Storer, T.","2025","10.1109/CSEET66350.2025.00010","The software engineering graduate apprenticeship program at the School of Computing, University of Glasgow, has a significant emphasis on work-based learning (WBL), with approximately 80% of the students' time over four years spent in the workplace. This work-based aspect of the program plays a more prominent role in the final two years, by which time apprentices are undertaking increasingly larger roles in the workplace. In this report, we present how we addressed the challenge of structuring and assessing WBL in these senior years such that there is a balance between professional competency attainment and ranked academic achievement, while providing a fair and flexible structure. Based on a model of WBL presented by Raelin in 1997, we outline our rationale for dividing the assessments into workplace projects, workplace journal, and a portfolio of artefacts. The projects are categorised into different types both for flexibility and to encourage academia-industry collaboration, the workplace journal encourages higher forms of reflection, while the portfolio assessment encourages and assesses the attainment of professional competencies. We present our experience of implementing this structure, an analysis of student feedback, and the adjustments made in response. With an increasing focus on work-ready skills and competency-based education in software engineering education, we expect the theory-informed structure we developed, and our experience of running and adapting it, to serve as an exemplar for developing a WBL program at research-led institutions. © 2025 IEEE."
"007","Validity evidence for procedural competency in virtual reality robotic simulation, establishing a credible pass/fail standard for the vaginal cuff closure procedure","Hovgaard, L.H.; Andersen, S.A.W.; Konge, L.; Dalsgaard, T.; Larsen, C.R.","2018","10.1007/s00464-018-6165-5","Background: The use of robotic surgery for minimally invasive procedures has increased considerably over the last decade. Robotic surgery has potential advantages compared to laparoscopic surgery but also requires new skills. Using virtual reality (VR) simulation to facilitate the acquisition of these new skills could potentially benefit training of robotic surgical skills and also be a crucial step in developing a robotic surgical training curriculum. The study's objective was to establish validity evidence for a simulation-based test for procedural competency for the vaginal cuff closure procedure that can be used in a future simulation-based, mastery learning training curriculum. Methods: Eleven novice gynaecological surgeons without prior robotic experience and 11 experienced gynaecological robotic surgeons (> 30 robotic procedures) were recruited. After familiarization with the VR simulator, participants completed the module ‘Guided Vaginal Cuff Closure’ six times. Validity evidence was investigated for 18 preselected simulator metrics. The internal consistency was assessed using Cronbach’s alpha and a composite score was calculated based on metrics with significant discriminative ability between the two groups. Finally, a pass/fail standard was established using the contrasting groups’ method. Results: The experienced surgeons significantly outperformed the novice surgeons on 6 of the 18 metrics. The internal consistency was 0.58 (Cronbach’s alpha). The experienced surgeons’ mean composite score for all six repetitions were significantly better than the novice surgeons’ (76.1 vs. 63.0, respectively, p < 0.001). A pass/fail standard of 75/100 was established. Four novice surgeons passed this standard (false positives) and three experienced surgeons failed (false negatives). Conclusion: Our study has gathered validity evidence for a simulation-based test for procedural robotic surgical competency in the vaginal cuff closure procedure and established a credible pass/fail standard for future proficiency-based training. © 2018, Springer Science+Business Media, LLC, part of Springer Nature."
"008","The Development of Students' Professional Competencies on a Work-Based Software Engineering Program","Barr, M.; Andrei, O.; Morrison, A.; Nabi, S.W.","2024","10.1145/3626252.3630944","Competencies may be defined as the knowledge, skills, and professional dispositions that an individual is required to demonstrate in order to be considered professionally competent. Competency-based education has long been a feature of professional degree programs, but the discipline of Computing Science has only recently begun to embrace competencies as a means of structuring or evaluating students' learning. Meanwhile, the practice of work-based learning - also well-established in other professional disciplines - has become more prevalent in Computing Science education, with increasing emphasis placed on work-based modes of learning, such as internships and apprenticeships. In this paper, we examine how students enrolled on a degree-level apprenticeship in Software Engineering have developed their professional competencies in the workplace. The paper is based on an analysis of 38 student assignments, wherein apprentices were asked to identify the competencies they have demonstrated, with reference to a portfolio of work. The UK Standard for Professional Engineering Competence and Commitment, which outlines the competencies required for certification as an Incorporated Engineer, provided the necessary framework. Competencies relating to communication and inter-personal skills were among those most often cited by apprentices, with competencies relating to knowledge and understanding and design and development systems also featuring prominently. Competencies relating to responsibility, management, or leadership were less prevalent, with professional commitment proving to be the least commonly cited category of competencies. We provide examples of how apprentices claim to have demonstrated each competency, and discuss the implications of these findings for competency-based learning in Computing Science education.  © 2024 Owner/Author."
"009","Development of an automatic control system employing CDIO standards and competence-based learning","Monsalve, J.C.; Uribe, A.; Cardona-Gil, J.A.; Osorio, M.; Hincapie, C.A.; Isaza, C.A.","2016","10.1109/ITHET.2016.7760755","This paper addresses the experiences and results achieved by a controlled environment chamber development team, analyzed from the perspective of the CDIO initiative (Conceive, Design, Implement, Operate) and competency-based learning. The automation project was carried out within the framework of some Electrical and Electronic Engineering Faculty degree projects from the Universidad Pontificia Bolivariana. The ones who developed the solution faced several challenges in the development of their degree projects and this allowed assess how they confronted these challenges. It shows the connection between the proposed skills in different Electronic Engineering program courses and the consolidation through solving problems. The elements of the CDIO initiative were identified in the different development stages to find engineering problem solutions: Conceiving, Designing, Implementing and Operating. The analysis of the whole process can go beyond to simple exercise routine and it evidence the way in which engineering students have an asynchronous learning as they progress in achieving to the required solution. Also, this work can be framed within current proposals in Electrical and Electronic Engineering Faculty from the Universidad Pontificia Bolivariana located in Medellin-Colombia, which seeks to develop an educational and innovative environment that leverages each of the students' abilities to strengthen skills that help them carry out their projects. © 2016 IEEE."
"010","Digital education for graduate students: literacy and skills development—A case study of non-linear control systems course","Huang, Z.; Li, Z.; Wang, L.; Liu, H.","2025","10.3389/feduc.2025.1601717","The transformative integration of digital technologies into occupational frameworks and talent competency ecosystems has established educational digitalization and graduate digital literacy enhancement as pivotal components of national reform strategies, particularly within control science disciplines facing AI-driven industrial transformations. Addressing the critical demand for high-level research capabilities, this study employs a mixed-methods approach to investigate sustainable digital literacy cultivation pathways through a longitudinal case study (2020–2023) of the Non-linear Control Systems course. A pedagogical framework was developed, integrating three core mechanisms: goal-oriented instructional design aligned with DIGCOMP 2.2 standards and a quadruple mentorship system encompassing digital literacy, academic, project, and enterprise mentors. Implementation outcomes demonstrated statistically significant advancements, including a 55%−68% improvement in technical problem-solving competencies (p < 0.01). Student satisfaction rates surged from 78% to 95.45%, with medium-tier academic performances eliminated post-intervention. These findings substantiate the framework's efficacy in bridging theoretical-practical gaps through competency-based assessment protocols and adaptive mentorship architectures. The study contributes actionable strategies for engineering education reform, including scalable curriculum-digitization models and evidence-based industry-education integration frameworks, ultimately cultivating professionals equipped with sustainable digital competencies for intelligent manufacturing ecosystems. Copyright © 2025 Huang, Li, Wang and Liu."
